Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   80.1846  -218.5653  1724.7317     0.0530    -0.5659    -0.8227    -0.5631    -0.6974     0.4434    -0.8247     0.4398    -0.3557
   80.1952  -218.6855  1724.5588     0.0479    -0.5744    -0.8172    -0.3298    -0.7813     0.5299    -0.9428     0.2441    -0.2269
   80.2052  -218.8109  1724.3827     0.0447    -0.5848    -0.8099    -0.1806    -0.8021     0.5692    -0.9825     0.1209    -0.1415
   80.2149  -218.9416  1724.2044     0.0435    -0.5963    -0.8015     0.0137    -0.8019     0.5973    -0.9990    -0.0369    -0.0267
   80.2247  -219.0771  1724.0250     0.0436    -0.6080    -0.7928     0.0097    -0.7932     0.6088    -0.9990    -0.0343    -0.0287
   80.2347  -219.2168  1723.8457     0.0445    -0.6201    -0.7832     0.1024    -0.7770     0.6211    -0.9937    -0.1078     0.0289
   80.2451  -219.3596  1723.6682     0.0469    -0.6320    -0.7736     0.2137    -0.7501     0.6258    -0.9758    -0.1946     0.0998
   80.2560  -219.5040  1723.4940     0.0489    -0.6428    -0.7645     0.0532    -0.7627     0.6446    -0.9974    -0.0722    -0.0031
   80.2671  -219.6481  1723.3250     0.0516    -0.6534    -0.7553     0.3066    -0.7094     0.6347    -0.9504    -0.2643     0.1637
   80.2786  -219.7900  1723.1632     0.0545    -0.6632    -0.7465     0.0992    -0.7403     0.6649    -0.9936    -0.1103     0.0254
   80.2900  -219.9273  1723.0104     0.0567    -0.6714    -0.7389     0.2741    -0.7012     0.6582    -0.9600    -0.2398     0.1443
   80.3012  -220.0576  1722.8685     0.0593    -0.6790    -0.7317     0.2217    -0.7057     0.6729    -0.9733    -0.2022     0.1087
   80.3119  -220.1784  1722.7396     0.0616    -0.6861    -0.7249     0.2339    -0.6962     0.6787    -0.9703    -0.2114     0.1176
